829;Chinatown;1.654289;1974-06-20;false;6000000;Crime:Drama:Mystery:Thriller;Paramount Pictures:Penthouse:Long Road Productions;30000000;130;0.0;;Released;7.6
598;City of God;1.732047;2002-02-05;false;3300000;Drama:Crime;O2 Filmes:VideoFilmes:Wild Bunch:Globo filmes:Lumiere:Hank Levine Film:Lereby Productions;27387381;130;0.0;If you run you're dead...if you stay, you're dead again. Period.;Released;7.9
15;Citizen Kane;1.337007;1941-04-30;false;839727;Drama;Mercury Productions;23217674;119;0.0;It's Terrific!;Released;7.6
901;City Lights;1.595225;1931-01-30;false;1500000;Comedy:Drama:Romance;Charles Chaplin Productions;19181;87;0.0;True Blind Love;Released;7.9
903;Cool Hand Luke;1.082493;1967-06-22;false;0;Drama:Crime;Warner Bros.:Jalem Productions;16217773;126;0.0;What we've got here is failure to communicate.;Released;7.1
562;Die Hard;2.3282;1988-07-14;false;28000000;Action:Thriller;Twentieth Century Fox Film Corporation:Gordon Company:Silver Pictures;138708852;131;0.0;40 Stories. Twelve Terrorists. One Cop.;Released;7.1
17654;District 9;2.796831;2009-08-05;false;30000000;Action:Thriller:Science Fiction;WingNut Films:TriStar Pictures:Key Creatives:Block / Hanson:Canadian Film or Video Production Tax Credit (CPTC):The Department of Trade and Industry of South Africa:QED International:Province of British Columbia Production Services Tax Credit:District 9:New Zealand Post Digital and Visual Effects Grant;210819611;112;0.0;You are not welcome here.;Released;7.1
68718;Django Unchained;3.737374;2012-12-25;false;100000000;Drama:Western;Columbia Pictures:The Weinstein Company;425368238;165;0.0;Life, liberty and the pursuit of vengeance.;Released;7.6
968;Dog Day Afternoon;0.850362;1975-08-11;false;1800000;Crime:Drama:Thriller;Artists Entertainment Complex:Warner Bros.;46665856;125;0.0;The Most Bizarre Bank Siege Ever.;Released;7.1
141;Donnie Darko;1.61171;2001-01-18;false;6000000;Fantasy:Drama:Mystery;Pandora Cinema:Flower Films:Adam Fields Productions;1270522;113;0.0;Dark. Darker. Darko.;Released;7.5
996;Double Indemnity;0.822079;1944-04-24;false;927262;Drama:Mystery:Thriller;Paramount Pictures;2500000;107;0.0;From the Moment they met it was Murder!;Released;7.2
935;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1.062211;1964-01-29;false;1800000;Drama:Comedy:War;Hawk Films:Columbia Pictures Corporation;9440272;95;0.0;The hot-line suspense comedy;Released;7.7
1417;Pan's Labyrinth;1.998212;2006-05-27;false;19000000;Fantasy:Drama:War;Estudios Picasso:Telecinco Cinema:Esperanto Filmoj:Picturehouse Entertainment:Tequila Gang:Warner Bros. Pictures de España:Sententia Entertainment;83258226;118;0.0;What happens when make-believe believes it's real?;Released;7.4
38;Eternal Sunshine of the Spotless Mind;2.079165;2004-03-19;false;20000000;Science Fiction:Drama:Romance;Anonymous Content:This Is That Productions:Focus Features;72000000;108;0.0;I already forget how I used to feel about you.;Released;7.7
5961;Fanny & Alexander;0.683193;1982-12-17;false;0;Fantasy:Drama:Mystery;Sveriges Television (SVT):Cinematograph AB:Svenska Filminstitutet (SFI):Tobis Filmkunst;4971340;312;0.0;;Released;6.4
275;Fargo;1.696036;1996-04-05;false;7000000;Crime:Drama:Thriller;PolyGram Filmed Entertainment:Working Title Films;60611975;98;0.0;A lot can happen in the middle of nowhere.;Released;7.5
309;The Celebration;0.567822;1998-05-20;false;1300000;Drama;Nordic Film:Sveriges Television (SVT):Nimbus Film Productions;0;105;0.0;;Released;7.5
550;Fight Club;3.35888;1999-10-14;false;63000000;Drama;Regency Enterprises:Fox 2000 Pictures:Taurus Film:Linson Films:Atman Entertainment:Knickerbocker Films;100853753;139;0.0;How much can you know about yourself if you've never been in a fight?;Released;8.0
12;Finding Nemo;3.193341;2003-11-29;false;94000000;Animation:Family;Walt Disney Pictures:Pixar Animation Studios:Disney Enterprises;864625978;100;0.0;There are 3.7 trillion fish in the ocean, they're looking for one.;Released;7.3
13;Forrest Gump;4.448531;1994-06-22;false;55000000;Comedy:Drama:Romance;Paramount Pictures;677945399;142;0.0;The world will never be the same, once you've seen it through the eyes of Forrest Gump.;Released;8.0
600;Full Metal Jacket;2.044802;1987-05-31;false;17000000;Drama:War;Stanley Kubrick Productions:Warner Bros.:Natant;46357676;116;0.0;Vietnam can kill me, but it can’t make me care.;Released;7.6
783;Gandhi;1.464241;1982-11-30;false;22000000;Drama:History;Columbia Pictures:Goldcrest Films International:Indo-British:International Film Investors:National Film Development Corporation of India:Carolina Bank;77737889;191;0.0;His Triumph Changed The World Forever.;Released;7.0
98;Gladiator;3.105695;2000-05-01;false;103000000;Action:Drama:Adventure;DreamWorks SKG:Universal Pictures:Scott Free Productions:Red Wagon Entertainment:Mill Film:C & L:Dawliz;457640427;155;0.0;A Hero Will Rise.;Released;7.6
770;Gone with the Wind;1.200108;1939-12-15;false;4000000;Drama:Romance:War;Selznick International Pictures:Metro-Goldwyn-Mayer (MGM);400176459;238;0.0;The greatest romance of all time!;Released;7.0
489;Good Will Hunting;2.135542;1997-12-05;false;10000000;Drama;Miramax Films:Lawrence Bender Productions:Be Gentlemen Limited Partnership;225933435;126;0.0;Some people can never believe in themselves, until someone believes in them.;Released;7.6
769;Goodfellas;2.68619;1990-09-12;false;25000000;Drama:Crime;Warner Bros.;46836394;146;0.0;Three Decades of Life in the Mafia.;Released;8.0
13223;Gran Torino;1.635891;2008-12-11;false;33000000;Drama;Village Roadshow Pictures:Malpaso Productions:Gerber Pictures:Warner Bros.:Double Nickel Entertainment:Matten Productions:WV Films IV;269958228;116;0.0;Ever come across somebody you shouldn't have messed with?;Released;7.6
137;Groundhog Day;1.615543;1993-02-11;false;14600000;Romance:Fantasy:Drama:Comedy;Columbia Pictures;70906973;101;0.0;He's having the worst day of his life... over, and over...;Released;7.1
12445;Harry Potter and the Deathly Hallows: Part 2;4.356088;2011-07-07;false;125000000;Adventure:Fantasy:Family;Warner Bros.:Heyday Films:Moving Picture Company (MPC);1327817822;130;0.0;It all ends here.;Released;7.6
11787;Harvey;0.456287;1950-10-13;false;0;Comedy:Drama;Universal International Pictures (UI);0;104;0.0;The Wonderful Pulitzer Prize Play... becomes one of the Great Motion Pictures of our Time!;Released;7.5
949;Heat;1.622752;1995-12-15;false;60000000;Action:Crime:Drama:Thriller;Regency Enterprises:Forward Pass:Warner Bros.;187436818;171;0.0;A Los Angeles crime saga;Released;7.4
288;High Noon;1.074625;1952-03-27;false;750000;Western;United Artists:Stanley Kramer Productions;8000000;85;0.0;The story of a man who was too proud to run.;Released;7.0
205;Hotel Rwanda;1.307184;2004-09-11;false;17500000;Drama:History:War;Lions Gate Films:United Artists:Industrial Development Corporation of South Africa:Endgame Entertainment:Miracle Pictures:Sixth Sense Productions:Mikado Film:Inside Track Films;38000000;121;0.0;When the world closed its eyes, he opened his arms.;Released;7.2
10191;How to Train Your Dragon;3.225335;2010-03-05;false;165000000;Fantasy:Adventure:Animation:Family;DreamWorks Animation:Vertigo Entertainment:Mad Hatter Entertainment;494878759;98;0.0;One adventure will change two worlds;Released;7.3
429;The Good, the Bad and the Ugly;1.625205;1966-12-23;false;1200000;Western;United Artists:Constantin Film Produktion:Produzioni Europee Associati (PEA):Arturo González Producciones Cinematográficas S.A.;6000000;161;0.0;For three men the Civil War wasn't hell. It was practice.;Released;7.8
7984;In the Name of the Father;0.844417;1993-12-12;false;13000000;Drama;Universal Pictures:Hell's Kitchen Films;65796862;133;0.0;Falsely accused. Wrongly imprisoned. He fought for justice to clear his father's name.;Released;7.3
46738;Incendies;1.130382;2010-09-04;false;6800000;Drama:War:Mystery;TS Productions:Micro scope:Phi Group;7103838;130;0.0;The search began at the opening of their mother's will.;Released;7.8
27205;Inception;5.792563;2010-07-14;false;160000000;Action:Thriller:Science Fiction:Mystery:Adventure;Legendary Pictures:Warner Bros.:Syncopy;825500000;148;0.0;Your mind is the scene of the crime.;Released;7.9
89;Indiana Jones and the Last Crusade;2.61713;1989-05-24;false;48000000;Adventure:Action;Lucasfilm:Paramount Pictures;474171806;127;0.0;The man with the hat is back. And this time, he's bringing his Dad.;Released;7.4
10775;Infernal Affairs;1.344666;2002-12-12;false;0;Drama:Action:Thriller:Crime:Mystery;Media Asia Films;8708932;101;0.0;Loyalty. Honor. Betrayal.;Released;7.5
16869;Inglourious Basterds;3.162896;2009-08-18;false;70000000;Drama:Action:Thriller:War;Universal Pictures:A Band Apart:Zehnte Babelsberg:Visiona Romantica;319131050;153;0.0;Once upon a time in Nazi occupied France...;Released;7.7
5915;Into the Wild;2.427174;2007-09-20;false;15000000;Adventure:Drama;Paramount Vantage:River Road Entertainment:Art Linson Productions:Into the Wild;56255142;148;0.0;Into the heart. Into the soul.;Released;7.7
77338;The Intouchables;3.466358;2011-11-02;false;13000000;Drama:Comedy;Gaumont:Canal Plus:TF1 Films Production:CinéCinéma:Quad Productions:Chaocorp:Ten Films:TF1;426480871;112;0.0;Sometimes you have to reach into someone else's world to find out what's missing in your own.;Released;8.1
3078;It Happened One Night;1.158985;1934-02-22;false;325000;Comedy:Romance;Columbia Pictures Corporation;0;105;0.0;TOGETHER... for the first time;Released;7.3
1585;It's a Wonderful Life;1.081595;1946-12-20;false;3180000;Drama:Family:Fantasy;Liberty Films (II);6600000;130;0.0;It's a wonderful laugh! It's a wonderful love!;Released;7.5
103663;The Hunt;2.167535;2012-08-28;false;3800000;Drama;Zentropa Entertainments;16800000;115;0.0;The lie is spreading.;Released;7.8
578;Jaws;1.71681;1975-06-18;false;7000000;Horror:Thriller:Adventure;Universal Pictures:Zanuck/Brown Productions;470654000;124;0.0;Don't go in the water.;Released;7.2
329;Jurassic Park;1.251869;1993-06-08;false;63000000;Adventure:Science Fiction;Universal Pictures:Amblin Entertainment;920100000;127;0.0;An adventure 65 million years in the making.;Released;7.3
81;Nausicaä of the Valley of the Wind;1.937;1984-03-11;false;1000000;Adventure:Fantasy:Animation:Action:Science Fiction;Studio Ghibli:Nibariki:Hakuhodo;3301446;117;0.0;Loving the trees, speaking to insects, the bird people who fly on the wind...;Released;7.8
24;Kill Bill: Vol. 1;2.161608;2003-10-10;false;30000000;Action:Crime;Miramax Films:A Band Apart:Super Cool ManChu;180949000;111;0.0;Go for the kill.;Released;7.5
2118;L.A. Confidential;1.714597;1997-09-05;false;35000000;Crime:Drama:Mystery:Thriller;Regency Enterprises:Wolper Organization:Warner Bros.;126216940;138;0.0;Everything is suspect... Everyone is for sale... And nothing is what it seems.;Released;7.3
947;Lawrence of Arabia;1.49577;1962-12-10;false;15000000;Adventure:Drama:History:War;Columbia Pictures:Horizon Pictures (II);70000000;216;0.0;A Mighty Motion Picture Of Action And Adventure!;Released;7.4
87827;Life of Pi;2.447239;2012-11-20;false;120000000;Adventure:Drama:Action;Ingenious Film Partners:Ingenious Media:Dune Entertainment:Fox 2000 Pictures:Big Screen Productions:Haishang Films;609016565;127;0.0;Believe The Unbelievable;Released;7.0
100;Lock, Stock and Two Smoking Barrels;0.555326;1998-03-05;false;1350000;Comedy:Crime;Handmade Films Ltd.:Summit Entertainment:PolyGram Filmed Entertainment:SKA Films:The Steve Tisch Company;3897569;105;0.0;A Disgrace to Criminals Everywhere.;Released;7.3
832;M;1.254669;1931-05-11;false;0;Drama:Action:Thriller:Crime;Neuro-Film AG;0;117;0.0;;Released;7.6
24238;Mary and Max;1.10259;2009-02-09;false;8000000;Animation:Comedy:Drama;Melodrama Pictures;0;92;0.0;Sometimes perfect strangers make the best friends.;Released;7.5
77;Memento;2.134662;2000-10-11;false;9000000;Mystery:Thriller;Summit Entertainment:Newmarket Capital Group:Team Todd:I Remember Productions;39723096;113;0.0;Some memories are best forgotten.;Released;7.8
19;Metropolis;1.511335;1927-01-10;false;92620000;Drama:Science Fiction;Universum Film (UFA);650422;153;0.0;There can be no understanding between the hands and the brain unless the heart acts as mediator.;Released;7.8
70;Million Dollar Baby;1.614812;2004-12-14;false;30000000;Drama;Lakeshore Entertainment:Malpaso Productions:Epsilon Motion Pictures:Warner Bros.:Albert S. Ruddy Productions;216763646;132;0.0;Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.;Released;7.5
3082;Modern Times;1.522729;1936-02-05;false;1500000;Drama:Comedy;Charles Chaplin Productions;8500000;87;0.0;He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!;Released;7.9
128;Princess Mononoke;2.011865;1997-07-12;false;26500000;Adventure:Fantasy:Animation;Studio Ghibli:Nibariki:Nippon Television Network (NTV);159375308;134;0.0;The Fate Of The World Rests On The Courage Of One Warrior.;Released;8.0
585;Monsters, Inc.;4.483882;2001-11-01;false;115000000;Fantasy:Animation:Family:Comedy;Walt Disney Pictures:Pixar Animation Studios;562816256;92;0.0;We Scare Because We Care.;Released;7.3
762;Monty Python and the Holy Grail;1.390533;1975-03-13;false;400000;Adventure:Comedy:Fantasy;Python (Monty) Pictures Limited:Michael White Productions:National Film Trustee Company:Twickenham Film Studios;5028948;91;0.0;And now! At Last! Another film completely different from some of the other films which aren't quite the same as this one is.;Released;7.6
583;Life of Brian;1.866467;1979-08-16;false;4000000;Comedy;HandMade Films:Python (Monty) Pictures;20045115;94;0.0;He wasn't the messiah. He was a very naughty boy.;Released;7.4
3083;Mr. Smith Goes to Washington;0.612664;1939-01-01;false;1900000;Drama;Columbia Pictures;0;129;0.0;Romance, drama, laughter and heartbreak... created out of the very heart and soil of America!;Released;7.3
322;Mystic River;1.677174;2003-10-07;false;25000000;Thriller:Crime:Drama:Mystery;Village Roadshow Pictures:Malpaso Productions:NPV Entertainment:Warner Bros.;156822020;138;0.0;We bury our sins, we wash them clean.;Released;7.4
10774;Network;1.253074;1976-11-01;false;3800000;Drama;United Artists:Metro-Goldwyn-Mayer (MGM);23689877;121;0.0;Not since the dawn of time has America experienced a man like Howard Beale!;Released;7.1
6977;No Country for Old Men;1.624414;2007-11-08;false;25000000;Crime:Drama:Thriller;Miramax Films:Scott Rudin Productions:Paramount Vantage:Mike Zoss Productions;171600000;122;0.0;There are no clean getaways.;Released;7.6
213;North by Northwest;1.499806;1959-07-08;false;4000000;Mystery:Thriller;Metro-Goldwyn-Mayer (MGM);13275000;136;0.0;It's a deadly game of 'tag' and Cary Grant is 'it'...;Released;7.4
303;Notorious;0.896756;1946-08-15;false;2000000;Thriller:Drama:Romance;RKO Radio Pictures;8000000;102;0.0;Notorious woman of affairs... Adventurous man of the world;Released;7.6
11216;Cinema Paradiso;1.166155;1988-11-17;false;0;Drama:Romance;Cristaldifilm S.r.l.:Les Films Ariane:Rai Tre Radiotelevisione Italiana;11990401;124;0.0;A celebration of youth, friendship, and the everlasting magic of the movies.;Released;7.8
654;On the Waterfront;1.124679;1954-06-22;false;910000;Crime:Drama;Columbia Pictures:Horizon Pictures;9600000;108;0.0;The Man Lived by the Jungle Law of the Docks!;Released;7.8
311;Once Upon a Time in America;1.782817;1984-02-17;false;30000000;Drama:Crime;Warner Bros.:The Ladd Company;0;229;0.0;Crime, passion and lust for power - Sergio Leone's explosive saga of gangland America.;Released;7.8
510;One Flew Over the Cuckoo's Nest;3.311145;1975-11-18;false;3000000;Drama;Fantasy Films:Warner Bros.;108981275;133;0.0;If he's crazy, what does that make you?;Released;7.9
